Date,Volume,Delta,POC1_Vol,POC1_Ask,POC1_Bid,POC1_Delta,POC2_Vol,POC2_Ask,POC2_Bid,POC2_Delta,POC3_Vol,POC3_Ask,POC3_Bid,POC3_Delta,DeltaDivergenceHigh,DeltaDivergenceLow,AskAtHigh,BidAtHigh,BearExhaustion,BidAtLow,AskAtLow,BullExhaustion,OFRatio_Vol1,OFRatio_Vol2,OFRatioOutOfBounds,BidImbalances,AskImbalances,ZeroBidPrints,ZeroAskPrints,ExtremeImbalanceTriggered,PrevDelta,PrevVolume,PrevSlingshotBuy,PrevSlingshotSell,EngulfingValueArea,StoppingVolume,Absorption,FadingMomentum,DeltaFlip,DeltaReversal,DeltaDivergence,ThinPrint,FatPrint,VolumeSequencing,DeltaTrap,ExtremePOC,ValueAreaGap,TrappedTraders,ZeroPrintBuy,ZeroPrintSell,ImbRevBuy,ImbRevSell,POCTraderTop,POCTraderBottom,MarketWeakness,MarketSweep,OrderflowSequencing,InverseImbalance,DiagAskImbCount,DiagBidImbCount,DiagAskVolSum,DiagBidVolSum,imbaRatio,horizImbaRatio,TotalAskVol,TotalBidVol,BuySellRatio,DeltaEfficiency,BarRangeTicks,DeltaPerTick,ClosePosition,HVN_Count,LVN_Count,SinglePrints,PocVaPosition,PocMigration,MaxStackedAsk,MaxStackedBid,BuyingTailTicks,SellingTailTicks,CumDelta2,CumDelta3,BuyClimax,SellClimax,UnfinishedTop,UnfinishedBot
2020/06/22 06:31:53,1719,123,314,180,134,46,272,122,150,-28,231,121,110,11,False,True,21,5,False,5,0,True,5,104,False,0,4,1,1,True,70,2506,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0,0,0,0,0.0,99.0,921,798,1.154,0.0716,12,10.25,1.0,5,8,0,0.4,-1,3,0,0,0,193,193,False,True,False,False
2020/06/22 06:37:11,559,-97,87,43,44,-1,77,24,53,-29,66,50,16,34,False,False,12,0,False,47,15,False,12,50,False,1,0,1,1,False,123,1719,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,1,0,18,0,99.0,-99.0,231,328,0.7043,0.1735,12,-8.08,0.0,6,7,0,0.5556,1,0,1,0,0,26,96,True,False,False,False
2020/06/22 06:49:44,1478,-282,322,135,187,-52,257,56,201,-145,255,146,109,37,False,False,5,0,True,32,1,False,5,108,False,3,0,1,2,True,-97,559,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,2,1,160,56,2.857,-99.0,598,880,0.6795,0.1908,12,-23.5,0.0,5,8,0,0.2,-1,0,1,0,0,-379,-256,False,False,False,False
2020/06/22 06:55:50,1366,-324,254,97,157,-60,186,102,84,18,176,58,118,-60,False,False,4,0,True,68,21,False,4,16,False,3,0,1,0,True,-282,1478,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0,0,0,0,0.0,-99.0,521,845,0.6166,0.2372,12,-27.0,0.0,7,6,0,0.7143,-1,0,2,0,0,-606,-703,False,False,False,False
2020/06/22 07:09:17,2036,-166,323,155,168,-13,286,105,181,-76,268,98,170,-72,False,False,9,0,True,18,0,False,9,26,False,1,0,1,2,False,-324,1366,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,3,3,365,223,1.637,-99.0,935,1101,0.8492,0.0815,12,-13.83,0.0,7,6,0,0.4,-1,0,1,0,0,-490,-772,False,False,False,False
2020/06/22 07:09:30,432,-184,84,30,54,-24,69,29,40,-11,55,23,32,-9,False,False,23,32,False,22,0,False,23,30,False,4,0,0,4,True,-166,2036,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,False,0,0,0,0,0.0,-99.0,124,308,0.4026,0.4259,12,-15.33,0.0,4,9,0,0.875,-1,0,3,0,0,-350,-674,True,False,False,False
2020/06/22 07:14:00,1782,-176,343,183,160,23,333,158,175,-17,263,132,131,1,False,False,29,0,False,37,7,False,29,127,False,2,0,1,0,False,-184,432,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,6,2,690,306,2.255,-99.0,803,979,0.8202,0.0988,12,-14.67,0.0,5,8,0,0.5,-1,0,1,0,0,-360,-526,False,False,False,False
2020/06/22 07:18:38,1199,141,148,68,80,-12,137,81,56,25,136,70,66,4,False,True,27,0,False,28,0,False,28,78,False,0,1,1,1,False,-176,1782,False,False,False,True,False,True,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,1,4,68,191,0.356,99.0,670,529,1.267,0.1176,12,11.75,1.0,8,5,0,0.0,-1,1,0,0,0,-35,-219,False,False,False,False
2020/06/22 07:25:41,1477,127,201,94,107,-13,191,102,89,13,186,92,94,-2,False,False,35,17,False,3,0,True,3,9,False,0,2,0,1,False,141,1199,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,0,0,0,0,0.0,99.0,802,675,1.188,0.086,12,10.58,1.0,7,6,0,0.8333,1,2,0,0,0,268,92,False,False,False,False
2020/06/22 07:27:40,947,93,176,85,91,-6,148,66,82,-16,115,52,63,-11,False,False,43,2,False,5,0,True,5,51,False,0,3,1,1,True,127,1477,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,True,True,False,0,0,0,0,0.0,99.0,520,427,1.218,0.0982,12,7.75,1.0,5,8,0,0.4286,1,2,0,0,0,220,361,False,False,False,False
